treatment_id	n_terms_above_5
taxon_6a174f6d4eebe033fe970b9a7d9681e5fed9d50a759cee0f6b974550b96957cd	157
taxon_9efe300ccd00200ce89a292a6178a51458384c8db44cbc3720d5b33891c2355f	157
taxon_0def19acf2c86cc584f162e51117f0c5707eac692f16711bebe5f467f922b13d	156
taxon_5bedf3dc2040fb73b656dbdf2cd953fe7be025ec9d8a5703029025851bee7586	156
taxon_78cd908f2f1bd7a5deaca146c9d5b32f9733214f7d2703e287d3f9161094b774	156
taxon_bb5a57ff4e69cfc39388671d5116ecf580bce87a04daab53801f23b675b93ec1	156
taxon_10dbc28d27457ef69ad791ea129ebd5616b05c69687d8664bb63fff0e2184a83	155
taxon_2c5dd857e959fe22cb3893eb3e01ac76a9c4b0616c86341d62054fcf07b738be	155
taxon_f83f9b46445ebc2a01b2035530cd3a3ca0f95de64e57b8b54bec58a34be67f97	155
taxon_fd5eef3f2b23f3629993ab6cb7c3b9a48495c3eb15bf4f0788220454f0ba8f7b	155
taxon_542c3874f2af3e76e81d863d9e908e826c44843bedbedcbbf2930dd63eafa6f9	154
taxon_4832bf85dd895fb46e9f48990689fa7480e6bf17c7a91fce4cf95e7ffada673e	153
taxon_496c647e8fe77645a037cc9f1561374c6b7c653ec6410ec529320d51ed471af8	153
taxon_53f4a41fc01685d515b663160953d5b6a0a5211b48b7bffe6783ac824444b6ad	153
taxon_fbc203f1d0419ffa177a43ecde65bb2dec54bf310300c3a2832575af0f1a6ad8	153
taxon_25a16a37e0ad76c205bff71653ea1c8869e862162e2bb601f3a8908d1142dc8f	152
taxon_a5d50fe2da579bf0367186bab6e7a04396a3d49ac39e1eec6ef2e373820c5421	152
taxon_4615dab07322910375f00dd667d8a4db3e560934a3a1d4be913f09ebb19b302d	151
taxon_7accf24f6fc37d76c8db56a672f89f9abad8fbc712c8e8c4e2082ade3d4685d3	151
taxon_995a647866c9f806ff8a657855aed02ab9fcff60f8eb3dc6fd8eede3498e86bd	151
taxon_b850b8e788c9cd9e53b7553d8f6b43546a093d3f7b7f658b527b2a49ef243508	151
taxon_bf4b73eded8fc311b6724d8651d28ddea94d1ba0066432a26e3da7690569f029	151
taxon_0c35d3f854b6946523bc904fed46cdfc5415211b17537290ca2f75a9ffc15fba	150
taxon_46f419708a73454d8df4abccec92d94bc6c484a61b34b66ab9a86275f78c827a	150
taxon_64736cbb40a5ad2a639e2f7b1c5190528cf36663239249d506cb9910a68bb84e	150
taxon_7c7d0ed6154981c4742a89a5b5711220ba9d0c0e225a5a51b2d85b85885bd8fd	150
taxon_9074839c8f56a874185bc0ef81c64cd383e298ee47a320207adc4bc276ccecc6	150
taxon_eca31bb4842e94130e9435ead0440244cf550ed93ae8b2bc23b73298fe304364	150
taxon_fd464b72ee915769a323be7542c704a27299281848cc8c53ee5ec38e929e5844	150
taxon_7a670786dd2253bb82943edf215fc9bd280f720e01182d0e4c2a702a65b4b9b7	149
taxon_856777d5e23015a107a55ef13c7de9cfb1a6895a9bba82bd9c47b8a92e843ab8	149
taxon_bc23cc21b81caa29d5fe3289b0b9d5aec2644f24f7ba645b6e2a65106faf6adf	149
taxon_cb5804f927be416b3cb4a78b8b1ebeb7bf80aa1350dd43654c50486ea322cff2	149
taxon_e18c79388df8c5537349475c345dac80d9e98a1dce36e364a7cced0d8dc2d5d7	149
taxon_26aa779bb9814338e881493ee1c3dba5a0e0ea11b108d4f6c6dc6448f655b5df	148
taxon_566801efa841f0a04c5e09b15b5f579e152aa13d5d95a149796ce308829e5d4f	148
taxon_87bd656f3f9cbc6d464eda95bdeabb40aa22a3f364e285c42d1b9f22d9e36b8d	148
taxon_ca188d79e915778af824636390a75982c0a7fa6b7c00121807e09ff4eaa19abd	148
taxon_9546da18c26934e03aab1df813efc614fbc330789821173033f366a2b4fc753d	147
taxon_9a04454a381d5821f15f448353985b76977bd9bc476924b4d0859e167c7ff14a	147
taxon_ea8afa9e5e74a8eed9306df63892d36c3e4365b1cd1d6955439673207a588d41	147
taxon_fbfd74f3572829bbfd137c02a8d5123f81c9f745765eab12f50b311e279e8d65	147
taxon_0bb2b8885160b76935216e124101cc2915bb00506aa51a2537f0dd62cc9a9a3e	146
taxon_a873b46c72326c2404b974346462cb1561c48100b39830da3d519c9f4b88e220	146
taxon_ba33fe227ad068d2377eef49355fcf4b25dff52db6f0dd7ea1d3fe59345a4df5	146
taxon_e253d7a95f70f4cc985aa63109f8c39543ecf22551c2b7b52a2df783abb85a1c	146
taxon_5592646c0711d4440b3edb0966475f83294a5d848e17683ff718f46ee36b0076	145
taxon_630c5c0ed4463799606d513ab9ddbe83e60d141e7f081df780aeee7336c4b1fd	145
taxon_80a39577d4856a6b7f99e8acad6923949cb0447e09abfb8e2172862f84e61943	145
taxon_a6e139601be2cabf25c12e2c8fc24fb4d2f2f525cccd22118550d6f01baccadc	145
taxon_ec254de285017353be233deba5b5b61fc57283105d862e2105ebd2941b6f91b9	145
taxon_f33a224a9675d69f02423e009fa5704ad75e2d7ce9f3f4dcf9a824cff3c68650	145
taxon_5e9957a92bf9ed95129faea12644d42e12b879d1f14741a742dfdf9bffe16131	144
taxon_af6a675d56484b1e9d9c425725c5550b8effb1af5e319207b094504762b909ab	144
taxon_5b5be1c04f69f1218ce183031c3bc74c7e50173a56f17e0cb063a5c426281ae2	143
taxon_6247b16335f420d351fcc55337f7970bc44b4f5bbdc324f03cd92a0355cca7e9	143
taxon_a6990f14eba180d941f3bd0f1ead532a4caab5986542a366d26733c86ff10c6b	143
taxon_cc8fb0e4ea05a45c39ee2d8889bae6adda5d72076ca3cd9da3921bacaaa099ec	143
taxon_f8172d16ba3fbe86e2bc2591e8daee31f156e8a4b72f46b787f774f4c823a1be	143
taxon_105e6969e40cc0f9ec7b1efa78ae3a583511f21db15d28fa76ef98a1950cf978	142
taxon_3c32e0cb911b9e2f5f27069c97b6732bb97e84659c65f7e92ca56c2a5e43d52a	142
taxon_7acbd59bb8172fd904ea60eb3e65233515c6d161372907272ca8d230ee685b9c	142
taxon_b3ff05f2484c9635811911be9c34427345ee713c101fbe3d5d8b96f83f68d01f	142
taxon_43e001ef6554bc7e61f19ad56a3e9fb0d26300970076723bc31759892f663885	141
taxon_699dd2c3a6a945c817b30ff7e06de623ded0c4bce8727e509f190ddee3b6e6fe	141
taxon_84f54e814ad359c4a0e4ecb42d80c55fc8507b3b7f7c919f216ef34ce33c7567	141
taxon_bf2b1117a9c977cce368685dd087e511a5627c73f265b0f0df3ca5cf1c3ab70b	141
taxon_d23f592906e837e50224ef31d8e187c052a751c9a9d83a1584f460127fb5b483	141
taxon_d7d657cd98956694664b81ac445b217c6519d14e82b34ff13fdf5cd00b04094c	141
taxon_134bab25b2131b68655b77e22bed6f696a67f858d169d3deba48183126c09768	140
taxon_186f9883a2a67a88115a7d9d6f13ee001013fd1e2c4e61ab4a0133d94ffc791f	140
taxon_43e73fe24e7f822826a48de5ae005111f2b0d659f0218dd3cb947c2bbe47dba1	140
taxon_6381b8aa5b09256a94e773fd60a75b5f98467a0523999a0a3926cd290f006c4d	140
taxon_7f48c63b6e6238139b1dea4198fceff4632a18a68d76a2da476ad3846990af51	140
taxon_957a3b6dfedfe678cc9fa3a0741c4b2cc2e8f8db75676a7af449ec120cbf4c01	140
taxon_e3ace6de6b63ccd5dca93aab2b2e079ca92b0ec878d15f91c9d87088139f3506	140
taxon_5052c8092a80bb123603a503b21eb13ff71b83f57a2601265ea1f6714aace778	139
taxon_63e1acdf3f413e3e24490dd18c5d14fd0b86ef024f88014489711b5bc8b5e7df	139
taxon_b4028c8a7652242dfce6f6ca12152f5bec41871aa62b29810c29de09ec7ee9a9	139
taxon_d7ecab5e483381e5e39b3d74636cf6933e5cc275d674be3c4114988b9e144892	139
taxon_ee3f41098a10d4b1974beae14ef3dea2126136e0c7821f95a55ae77ca3b2b7e2	139
taxon_07520c492ef839a594b9585e8b1b51516cc84b001193a2be341b40676d6f0fa0	138
taxon_3269bb29792c0b7416ceed4165f00dbf65cb097521234d3430ca47773de862e0	138
taxon_9043a0aac5ef67b559ada9e67d92b921a3c2700b918d1002054b1871f9f921e2	138
taxon_b8b995a4a0c8bcf7714af3ddef70fd02715e29c0ab3e19ef49223e094b1c22aa	138
